batch	source_language	id	type		Biased against Palestine	Biased against Israel	Biased against both Palestine and Israel	Biased against others	Unbiased	Not Applicable	Unclear		Propaganda	Not Propaganda	Not Applicable	Unclear
B01	English	826	MAIN		2	0	0	1	13	0	0		0	6	0	0
B01	English	846	MAIN		6	4	0	3	2	0	1		2	3	0	1
B01	English	847	MAIN		0	0	0	0	3	11	2		0	1	3	2
B01	English	851	MAIN		10	0	0	1	5	0	0		2	4	0	0
B01	English	861	MAIN		0	0	0	0	2	10	4		0	0	5	1
B01	English	871	MAIN		1	1	0	1	13	0	0		0	6	0	0
B01	English	877	MAIN		3	0	0	0	12	0	1		1	5	0	0
B01	English	879	MAIN		8	0	1	6	1	0	0		6	0	0	0
B01	English	881	MAIN		5	0	0	0	11	0	0		1	5	0	0
B01	English	882	MAIN		0	0	0	0	7	4	5		0	3	2	1
B01	English	890	MAIN		6	0	0	1	9	0	0		4	2	0	0
B01	English	892	MAIN		13	0	0	1	2	0	0		5	1	0	0
B01	English	905	MAIN		11	0	0	0	4	0	1		4	2	0	0
B01	English	909	MAIN		6	0	0	3	6	0	1		5	1	0	0
B01	English	910	MAIN		0	0	0	0	2	5	9		1	0	3	2
B01	English	913	MAIN		10	1	0	2	3	0	0		6	0	0	0
B01	English	919	MAIN		2	0	0	4	1	5	4		2	0	3	1
B01	English	920	MAIN		2	4	0	1	9	0	0		0	6	0	0
B01	English	924	MAIN		0	0	0	1	1	5	9		2	1	2	1
B01	English	926	MAIN		0	0	0	0	15	0	1		1	5	0	0
B01	English	933	MAIN		10	0	0	2	4	0	0		4	2	0	0
B01	English	935	MAIN		4	0	1	0	9	0	2		2	3	0	1
B01	English	969	MAIN		3	1	0	5	7	0	0		1	5	0	0
B01	English	1170	MAIN		0	5	0	1	9	0	1		1	5	0	0
B01	English	1319	MAIN		0	1	0	0	10	2	3		0	4	1	1
B01	English	1349	MAIN		1	0	0	5	9	1	0		2	3	0	1
B01	English	1363	MAIN		5	1	2	0	8	0	0		3	3	0	0
B01	English	1376	MAIN		8	0	0	0	7	0	1		2	4	0	0
B01	English	1578	MAIN		3	1	0	3	9	0	0		3	3	0	0
B01	English	1591	MAIN		11	0	0	1	2	0	2		5	1	0	0
B01	English	1621	MAIN		14	0	0	1	1	0	0		6	0	0	0
B01	English	1666	MAIN		6	1	0	0	8	0	1		2	4	0	0
B01	English	1734	MAIN		6	0	0	4	6	0	0		4	2	0	0
B01	English	1846	MAIN		12	0	0	2	2	0	0		4	1	0	1
B01	English	1965	MAIN		0	7	0	1	8	0	0		2	4	0	0
B01	English	2017	MAIN		5	0	0	0	9	0	2		1	5	0	0
B01	English	2068	MAIN		5	0	0	2	9	0	0		3	3	0	0
B01	English	2162	MAIN		3	1	0	1	6	1	4		1	2	1	2
B01	English	2472	MAIN		14	0	0	1	0	0	1		6	0	0	0
B01	English	2486	MAIN		6	0	0	2	8	0	0		2	4	0	0
B01	English	2720	MAIN		8	0	0	2	5	0	1		2	4	0	0
B01	English	4322	MAIN		3	2	0	3	6	1	1		2	1	0	3
B01	English	4825	MAIN		10	0	0	1	2	1	2		3	3	0	0
B01	English	5064	MAIN		0	1	1	0	8	3	3		1	4	1	0
B01	English	5138	MAIN		1	0	0	0	10	0	5		1	5	0	0
B01	English	5367	MAIN		14	0	0	1	1	0	0		5	1	0	0
B01	English	5747	MAIN		13	0	0	1	2	0	0		6	0	0	0
B01	English	5766	MAIN		9	0	0	1	5	0	1		4	1	0	1
B01	English	6477	MAIN		0	7	0	2	6	0	1		2	4	0	0
B01	English	6896	MAIN		0	5	0	1	10	0	0		1	5	0	0
B01	English	8056	MAIN		4	2	0	3	7	0	0		3	3	0	0
B01	English	9872	MAIN		10	1	0	2	3	0	0		3	3	0	0
B01	Arabic	1	MAIN		14	0	0	2	0	0	0		5	1	0	0
B01	Arabic	2	MAIN		0	5	0	1	9	0	1		2	4	0	0
B01	Arabic	3	MAIN		2	3	2	2	7	0	0		4	2	0	0
B01	Arabic	4	MAIN		9	0	0	1	5	0	1		4	1	0	1
B01	Arabic	7	MAIN		3	0	0	0	11	0	2		2	4	0	0
B01	Arabic	8	MAIN		0	8	0	1	6	0	1		3	3	0	0
B01	Arabic	11	MAIN		0	0	0	0	14	0	2		0	4	0	2
B01	Arabic	13	MAIN		1	7	0	1	7	0	0		3	3	0	0
B01	Arabic	17	MAIN		7	0	0	1	7	0	1		3	3	0	0
B01	Arabic	20	MAIN		0	2	0	1	13	0	0		1	4	0	1
B01	Arabic	27	MAIN		9	1	0	0	1	1	4		1	2	0	3
B01	Arabic	28	MAIN		1	1	0	1	13	0	0		1	5	0	0
B01	Arabic	29	MAIN		14	0	0	1	0	0	1		5	1	0	0
B01	Arabic	31	MAIN		2	1	0	1	11	0	1		3	3	0	0
B01	Arabic	35	MAIN		10	0	1	2	3	0	0		4	1	0	1
B01	Arabic	36	MAIN		2	2	0	0	9	0	3		2	4	0	0
B01	Arabic	38	MAIN		2	2	0	1	11	0	0		2	4	0	0
B01	Arabic	40	MAIN		0	7	0	0	7	0	2		2	2	0	2
B01	Arabic	46	MAIN		0	1	0	0	14	0	1		1	4	0	1
B01	Arabic	48	MAIN		1	0	0	1	13	0	1		1	4	0	1
B01	Arabic	52	MAIN		9	1	0	1	4	0	1		2	4	0	0
B01	Arabic	56	MAIN		12	0	0	3	1	0	0		6	0	0	0
B01	Arabic	58	MAIN		1	0	0	1	12	1	1		1	5	0	0
B01	Arabic	62	MAIN		2	3	0	1	9	0	1		3	3	0	0
B01	Arabic	66	MAIN		0	6	1	1	8	0	0		3	3	0	0
B01	Arabic	71	MAIN		0	4	0	0	8	0	4		2	3	0	1
B01	Arabic	73	MAIN		0	3	0	1	11	1	0		1	4	0	1
B01	Arabic	78	MAIN		1	3	1	5	6	0	0		4	2	0	0
B01	Arabic	87	MAIN		7	0	0	0	8	0	1		2	3	0	1
B01	Arabic	88	MAIN		4	0	0	1	11	0	0		1	5	0	0
B01	Arabic	90	MAIN		14	0	0	2	0	0	0		4	1	0	1
B01	Arabic	99	MAIN		12	0	0	0	3	0	1		4	2	0	0
B01	Arabic	104	MAIN		9	0	1	2	4	0	0		4	1	0	1
B01	Arabic	108	MAIN		0	7	0	1	7	1	0		1	3	0	2
B01	Arabic	114	MAIN		0	1	0	1	13	0	1		2	3	0	1
B01	Arabic	120	MAIN		6	1	0	0	8	0	1		2	4	0	0
B01	Arabic	121	MAIN		2	0	0	1	13	0	0		1	5	0	0
B01	Arabic	143	MAIN		14	0	0	1	0	0	1		6	0	0	0
B01	Arabic	147	MAIN		2	2	2	0	3	1	6		1	3	0	2
B01	Arabic	158	MAIN		13	0	0	1	0	0	2		5	1	0	0
B01	Arabic	161	MAIN		6	1	0	1	8	0	0		5	1	0	0
B01	Arabic	172	MAIN		14	0	0	2	0	0	0		6	0	0	0
B01	Arabic	177	MAIN		1	3	0	0	10	0	2		1	4	0	1
B01	Arabic	178	MAIN		0	2	1	0	10	0	3		1	5	0	0
B01	Arabic	183	MAIN		9	1	0	1	4	0	1		4	2	0	0
B01	Arabic	192	MAIN		5	0	4	0	5	1	1		2	3	0	1
B01	Arabic	199	MAIN		1	5	2	1	7	0	0		2	4	0	0
B01	Arabic	200	MAIN		13	0	0	1	1	0	1		6	0	0	0
B01	Arabic	205	MAIN		6	0	0	1	6	0	3		4	1	0	1
B01	Arabic	246	MAIN		13	0	0	1	1	0	1		6	0	0	0
B01	Arabic	261	MAIN		14	0	0	1	0	0	1		4	2	0	0
B01	Arabic	282	MAIN		6	0	0	3	5	1	1		5	1	0	0
B01	Arabic	286	MAIN		5	1	0	1	8	0	1		1	4	0	1
B01	Arabic	313	MAIN		8	0	1	2	4	0	1		5	1	0	0
B01	Arabic	326	MAIN		5	0	0	2	9	0	0		5	1	0	0
B01	Arabic	346	MAIN		2	6	1	1	6	0	0		2	4	0	0
B01	Arabic	374	MAIN		1	1	0	2	12	0	0		2	4	0	0
B01	Arabic	472	MAIN		15	0	0	1	0	0	0		6	0	0	0
B01	Arabic	484	MAIN		14	0	0	1	0	0	1		6	0	0	0
B01	Arabic	488	MAIN		3	0	0	1	12	0	0		1	5	0	0
B01	Arabic	633	MAIN		1	6	0	1	8	0	0		1	5	0	0
B01	Arabic	657	MAIN		3	1	0	4	7	0	1		3	1	0	2
B01	Arabic	669	MAIN		1	5	1	1	7	1	0		2	4	0	0
B01	Arabic	681	MAIN		9	0	0	1	3	0	3		3	0	0	3
B01	Arabic	687	MAIN		1	1	0	0	11	0	3		1	3	0	2
B01	Arabic	689	MAIN		1	4	2	2	7	0	0		1	5	0	0
B01	Arabic	692	MAIN		1	5	0	0	9	0	1		0	5	0	1
B01	Arabic	700	MAIN		0	2	0	1	8	1	4		0	4	1	1
B01	Arabic	702	MAIN		2	3	0	0	10	0	1		3	3	0	0
B01	Arabic	715	MAIN		8	0	0	1	6	0	1		3	3	0	0
B01	Arabic	727	MAIN		0	9	0	0	5	1	1		4	2	0	0
B01	Arabic	728	MAIN		0	1	0	0	11	1	3		0	5	0	1
B01	Arabic	739	MAIN		13	1	0	2	0	0	0		6	0	0	0
B01	Arabic	741	MAIN		2	0	0	1	13	0	0		3	3	0	0
B01	Arabic	752	MAIN		11	0	1	1	1	0	2		5	0	0	1
B01	Arabic	756	MAIN		1	9	0	0	6	0	0		2	4	0	0
B01	Arabic	758	MAIN		14	0	0	1	0	0	1		6	0	0	0
B01	Arabic	763	MAIN		1	8	0	1	6	0	0		3	3	0	0
B01	Arabic	782	MAIN		3	1	0	1	9	0	2		2	2	0	2
B01	Arabic	828	MAIN		1	4	2	1	8	0	0		2	4	0	0
B01	Arabic	829	MAIN		2	0	0	0	4	2	8		1	2	1	2
B01	Arabic	877	MAIN		9	0	0	1	4	1	1		3	2	0	1
B01	Arabic	887	MAIN		0	9	0	1	6	0	0		2	3	1	0
B01	Arabic	889	MAIN		1	0	0	0	13	0	2		0	6	0	0
B01	Arabic	890	MAIN		0	10	0	1	4	0	1		3	3	0	0
B01	Arabic	891	MAIN		1	8	0	1	5	1	0		2	4	0	0
B01	Arabic	898	MAIN		1	0	0	1	12	1	1		0	6	0	0
B01	Arabic	900	MAIN		0	10	0	1	5	0	0		3	3	0	0
B01	Arabic	904	MAIN		1	7	0	3	3	1	1		3	3	0	0
B01	Arabic	938	MAIN		0	0	0	1	14	1	0		0	6	0	0
B01	Arabic	940	MAIN		0	0	3	0	12	0	1		2	4	0	0
B01	Arabic	973	MAIN		4	0	0	0	10	0	2		2	4	0	0
B01	Arabic	990	MAIN		2	1	0	3	5	3	2		1	4	0	1
B01	Arabic	1049	MAIN		3	1	0	1	11	0	0		1	5	0	0
B01	Arabic	1088	MAIN		4	1	0	1	8	0	2		2	4	0	0
B01	Arabic	1127	MAIN		12	0	0	1	1	0	2		4	2	0	0
B01	Arabic	1192	MAIN		14	0	0	1	1	0	0		6	0	0	0
B01	Arabic	1329	MAIN		14	0	0	2	0	0	0		6	0	0	0
B01	Arabic	1354	MAIN		5	1	0	0	8	0	2		2	2	0	2
B01	Arabic	1360	MAIN		1	0	0	2	11	1	1		1	5	0	0
B01	Arabic	1471	MAIN		0	0	0	1	11	1	3		0	4	1	1
B01	Arabic	1549	MAIN		12	0	0	2	0	0	2		6	0	0	0
B01	Arabic	1550	MAIN		0	1	0	0	13	0	2		2	3	0	1
B01	Arabic	1560	MAIN		13	0	0	1	1	1	0		6	0	0	0
B01	Arabic	1589	MAIN		0	2	1	0	11	0	2		4	2	0	0
B01	Arabic	1625	MAIN		13	0	0	2	1	0	0		6	0	0	0
B01	Arabic	1703	MAIN		9	1	0	0	3	0	3		6	0	0	0
B01	Arabic	1820	MAIN		1	0	0	1	8	3	3		1	3	0	2
B01	Arabic	1917	MAIN		0	1	0	0	13	1	1		0	6	0	0
B01	Arabic	1924	MAIN		0	0	0	1	11	2	2		2	3	1	0
B01	Arabic	1940	MAIN		2	1	0	1	11	0	1		3	2	0	1
B01	Arabic	1962	MAIN		1	0	0	0	12	1	2		1	4	0	1
B01	Arabic	2142	MAIN		2	10	0	1	2	0	1		3	2	0	1
B01	Arabic	2218	MAIN		3	7	0	1	5	0	0		4	2	0	0
B01	Arabic	2268	MAIN		11	0	0	2	1	1	1		4	0	0	2
B01	Arabic	2291	MAIN		1	6	0	3	6	0	0		2	3	0	1
B01	Arabic	2297	MAIN		5	1	0	0	9	0	1		3	3	0	0
B01	Arabic	2381	MAIN		4	0	0	0	11	0	1		2	4	0	0
B01	Arabic	2395	MAIN		0	1	0	0	12	1	2		0	6	0	0
B01	Arabic	2476	MAIN		5	0	0	3	7	0	1		4	1	0	1
B01	Arabic	2594	MAIN		2	0	0	0	12	0	2		2	4	0	0
B01	Arabic	2630	MAIN		2	0	2	3	6	2	1		0	5	0	1
B01	Arabic	2699	MAIN		7	0	0	1	7	0	1		2	4	0	0
B01	Arabic	2841	MAIN		3	0	0	0	11	0	2		2	4	0	0
B01	Arabic	2885	MAIN		0	5	2	0	8	0	1		2	4	0	0
B01	Arabic	3243	MAIN		3	0	0	2	11	0	0		1	5	0	0
B01	Arabic	3339	MAIN		0	2	0	0	12	0	2		2	4	0	0
B01	Arabic	3415	MAIN		1	2	0	0	12	0	1		1	5	0	0
B01	Arabic	3450	MAIN		7	1	1	0	6	0	1		1	5	0	0
B01	Arabic	3530	MAIN		2	0	0	0	9	2	3		1	3	0	2
B01	Arabic	3890	MAIN		0	3	1	0	8	1	3		1	4	0	1
B01	Arabic	3998	MAIN		1	4	1	1	9	0	0		3	2	0	1
B01	Arabic	4103	MAIN		1	3	2	2	8	0	0		2	4	0	0
B01	Arabic	4135	MAIN		2	0	0	3	11	0	0		1	5	0	0
B01	Arabic	4177	MAIN		0	4	0	2	9	0	1		1	5	0	0
B01	Arabic	4236	MAIN		0	4	0	1	9	0	2		2	4	0	0
B01	Arabic	4270	MAIN		0	2	0	0	12	0	2		2	4	0	0
B01	Arabic	4436	MAIN		3	4	0	0	8	1	0		1	4	1	0
B01	Arabic	4438	MAIN		3	1	0	0	8	1	3		1	3	0	2
B01	Arabic	4462	MAIN		0	2	1	0	11	0	2		1	4	0	1
B01	Arabic	4568	MAIN		1	2	0	0	12	0	1		1	4	0	1
B01	Arabic	4660	MAIN		5	0	0	1	10	0	0		2	4	0	0
B01	Arabic	4679	MAIN		3	0	0	0	12	0	1		2	4	0	0
B01	Arabic	4728	MAIN		2	7	0	0	5	0	2		1	5	0	0
B01	Arabic	5031	MAIN		0	7	0	3	5	0	1		2	3	0	1
B01	Arabic	5219	MAIN		2	1	1	0	11	0	1		1	5	0	0
B01	Arabic	5931	MAIN		0	5	0	0	10	0	1		1	5	0	0
B01	Arabic	6037	MAIN		2	0	0	1	11	0	2		2	2	0	2
B01	Arabic	6217	MAIN		0	0	0	6	6	3	1		1	3	2	0
B01	Arabic	6527	MAIN		0	0	0	0	8	3	5		2	3	0	1
B01	Arabic	6725	MAIN		0	7	1	0	6	0	2		5	1	0	0
B01	Arabic	7140	MAIN		6	2	0	1	5	0	2		6	0	0	0
B01	Arabic	7485	MAIN		4	0	0	1	10	0	1		2	3	0	1
B01	Arabic	7904	MAIN		0	6	0	0	7	0	3		2	4	0	0
B01	Arabic	8107	MAIN		0	0	0	0	15	0	1		0	6	0	0
B01	Arabic	8393	MAIN		0	0	0	0	13	1	2		1	5	0	0
B01	Arabic	8651	MAIN		1	8	0	2	3	0	2		3	2	0	1
B01	Arabic	8901	MAIN		0	4	1	0	9	0	2		1	5	0	0
B01	Arabic	9521	MAIN		3	4	0	1	7	0	1		1	5	0	0
B01	Arabic	9579	MAIN		5	1	1	1	8	0	0		3	2	0	1
B01	Arabic	9985	MAIN		0	1	0	0	10	1	4		1	4	1	0
B01	Arabic	10392	MAIN		0	0	0	1	14	1	0		1	4	0	1
B01	Arabic	10797	MAIN		8	1	1	1	3	1	1		5	0	0	1
B01	Arabic	10917	MAIN		0	5	0	0	10	0	1		0	6	0	0
B01	Arabic	11155	MAIN		1	4	2	3	3	1	2		4	0	1	1
B01	Arabic	11278	MAIN		0	3	1	1	11	0	0		0	6	0	0
B01	Arabic	11310	MAIN		1	8	0	0	5	0	2		4	1	0	1
B01	Arabic	12725	MAIN		2	0	0	0	13	0	1		1	5	0	0
B01	Arabic	12806	MAIN		0	1	0	1	10	1	3		2	3	1	0
B01	Arabic	13211	MAIN		6	0	0	0	3	1	6		2	1	0	3
B01	Arabic	13399	MAIN		0	0	0	1	15	0	0		0	6	0	0
B01	Arabic	14687	MAIN		1	0	0	0	9	1	5		0	5	1	0
B01	Arabic	14769	MAIN		1	7	0	1	7	0	0		2	4	0	0
B01	Arabic	35886	MAIN		5	0	0	2	7	1	1		3	2	0	1
B01	Arabic	36187	MAIN		7	0	0	1	7	0	1		3	3	0	0
B01	Arabic	36236	MAIN		3	0	0	0	12	0	1		1	5	0	0
B01	Arabic	36420	MAIN		3	1	0	1	11	0	0		4	2	0	0
B01	Arabic	36833	MAIN		0	7	0	2	6	0	1		1	4	0	1
B01	Arabic	37150	MAIN		0	1	3	0	10	0	2		0	6	0	0
B01	Arabic	38616	MAIN		4	1	0	1	9	0	1		2	4	0	0
B01	French	1	MAIN		2	8	0	0	5	0	1		3	3	0	0
B01	French	2	MAIN		13	0	0	2	1	0	0		3	3	0	0
B01	French	3	MAIN		1	4	0	1	9	0	1		3	3	0	0
B01	French	5	MAIN		0	9	0	0	4	0	3		4	2	0	0
B01	French	6	MAIN		0	11	0	1	4	0	0		3	3	0	0
B01	French	7	MAIN		0	0	0	0	2	8	6		0	2	0	4
B01	French	9	MAIN		1	5	0	1	9	0	0		2	4	0	0
B01	French	10	MAIN		6	1	0	1	7	0	1		5	1	0	0
B01	French	11	MAIN		4	2	2	0	6	1	1		2	4	0	0
B01	French	12	MAIN		0	3	0	0	12	0	1		1	5	0	0
B01	French	13	MAIN		0	0	0	1	12	2	1		0	4	0	2
B01	French	15	MAIN		1	8	0	0	5	0	2		3	2	0	1
B01	French	17	MAIN		2	3	0	1	7	0	3		1	4	0	1
B01	French	20	MAIN		0	0	0	0	12	1	3		0	5	0	1
B01	French	21	MAIN		2	0	0	1	7	1	5		1	1	0	4
B01	French	22	MAIN		15	0	0	1	0	0	0		2	4	0	0
B01	French	23	MAIN		0	0	0	0	10	2	4		0	1	2	3
B01	French	25	MAIN		0	0	0	0	2	10	4		0	0	4	2
B01	French	26	MAIN		4	1	0	1	8	1	1		2	4	0	0
B01	French	29	MAIN		0	0	0	1	11	3	1		1	2	2	1
B01	French	30	MAIN		2	0	0	1	9	1	3		2	2	0	2
B01	French	33	MAIN		4	1	0	0	9	1	1		2	2	0	2
B01	French	35	MAIN		13	1	0	1	1	0	0		4	2	0	0
B01	French	37	MAIN		6	0	3	0	5	1	1		1	4	0	1
B01	French	38	MAIN		1	0	6	2	7	0	0		1	4	0	1
B01	French	39	MAIN		0	0	0	0	2	10	4		0	1	3	2
B01	French	42	MAIN		0	0	0	1	2	5	8		1	1	2	2
